,item_id,site_id,total_sales,product_name
375,-28108,517,2668.7,MAR DOVE SLKY SMTH MILK 1.44z
376,-12019,517,2666.66,HER J RANCHER 7z ASRTD BAG
377,-12100,459,2662,WRI EXTRA POLAR ICE
378,-12245,580,2660.58,HER CARAMELLO 1.6z
379,-38673,589,2655.62,HER KG KIT KAT BIG KAT 3z
380,-12116,459,2651.42,WRI 5 RAIN
381,-34365,399,2646.66,TROLLI 4z SR BRT EGGS BAG
382,-12154,459,2643,BUTTERFINGER KG 3.7z
383,-12102,459,2634.87,WRI EXTRA SPEARMINT
384,-12284,459,2619.9,HER REESES FAST BREAK 1.8z
385,-12169,280,2618.68,HER KG 2.8z REESES BIG CUP
386,-12102,380,2617.17,WRI EXTRA SPEARMINT
387,-32360,399,2609.19,WRI 5 ASCENT
388,-21234,601,2609.04,MAR KG 2.83z M&M PB
389,-12295,399,2607.37,ANB BIG HUNK 2z
390,-14153,517,2604.68,TTS CHARLSTN CHEW MINI 3.5z
391,-41213,459,2602.13,MAR KG 2.83z M&M CARM
392,-38406,517,2594.84,HER ICE BRKR ICE CUBE PMNT
393,-32298,380,2591.14,WRI LFSVR GMI 7z COLLISIONS BAG
394,-34386,380,2588.42,ALB 9z GMI BEARS 12 FLAVOR SUB
395,-12268,399,2587.35,MAR M&M PEANUT 1.74z
396,-12001,399,2579.73,WW AUS LIC WTRMLN BAG 10z
397,-35262,399,2579.12, SWEETART ROPE KG 3.5z
398,-34369,580,2570.28,HI CHEW 3.53z MIX TROP BAG
399,-44543,517,2569.18,WRI KG EXTRA PPRMNT MGPK
400,-39279,380,2561.25,HER KG REESES PB CUP W/REESE PC 2.8z
401,-38016,380,2559.94,WRI LFSVR GMI 7z MIX BRY BAG
402,-12101,517,2558.75,WRI EXTRA PEPPERMINT
403,-21038,517,2557.96, SWEETARTS 6z CHWY MINI BAG
404,-42849,580,2554.07,KINDER JOY 7z
405,-42564,399,2553.57,SWTRTS ROPE STRWBRY KG 3.5z
406,-12167,399,2550.18,MAR KG 3.6z MILKY WAY
407,-12027,580,2549.78,HARIBO GMI 5z RNBW FROGS BAG
408,-12243,517,2549.49,HER ALMD 1.45z
409,-12100,516,2545.86,WRI EXTRA POLAR ICE
410,-12284,589,2544.21,HER REESES FAST BREAK 1.8z
411,-12245,516,2537.77,HER CARAMELLO 1.6z
412,-38004,380,2535.63,AM LIC SOUR PNCH 9z ASRTD SUB
413,-12149,280,2528.71,HER KG 2.7z CARAMELLO
414,-32335,516,2524.62,HI CHEW 3.53z MIX BAG
415,-39077,589,2523.06,HARIBO GMI 5z TWIN SNAKES BAG
416,-12308,399,2522.39,STK MAMBA CHEW 2.8z
417,-36262,517,2519.65,SWEETS 7z CINN BEAR BAG
418,-34386,589,2519.23,ALB 9z GMI BEARS 12 FLAVOR SUB
419,-12355,380,2514.08,HER MILK DUDS 5z
420,-42977,580,2512.47,MON SWEDISH FISH 8z RED BAG
421,-43535,554,2511.32,HER KG 2.95z REESES OUTRGS
422,-16878,517,2508.39,WRI KG 4z SKITTLES BITE
423,-44547,517,2507.76,WRI 5 COLBALT MGPK
424,-16878,380,2507.47,WRI KG 4z SKITTLES BITE
425,-42977,380,2506.31,MON SWEDISH FISH 8z RED BAG
426,-12314,517,2501.77, LAFFY TAFFY GRAPE 1.5z
427,-17187,459,2501.42,HARIBO GMI 5z GOLD BEARS BAG
428,-46736,589,2500.23, SWEETART ROPE TWST RAINBOW BAG 5z
429,-27907,459,2495.5,SWEETS 5z CHOC CINN BEAR BAG
